,STATCD,DISTCD,STATNAME,DISTNAME,DISTRICTS,BLOCKS,VILLAGES,CLUSTERS,TOTPOPULAT,P_URB_POP,POPULATION_0_6,GROWTHRATE,SEXRATIO,P_SC_POP,P_ST_POP,OVERALL_LI,FEMALE_LIT,MALE_LIT,AREA_SQKM,TOT_6_10_15,TOT_11_13_15,SCH1,SCH2,SCH3,SCH4,SCH5,SCH6,SCH7,SCH9,SCHTOT,SCH1G,SCH2G,SCH3G,SCH4G,SCH5G,SCH6G,SCH7G,SCH9G,SCHTOTG,SCH1P,SCH2P,SCH3P,SCH4P,SCH5P,SCH6P,SCH7P,SCH9P,SCHTOTP,SCH1M,SCH2M,SCH3M,SCH4M,SCH5M,SCH6M,SCH7M,SCH9M,SCHTOTM,SCH1GR,SCH2GR,SCH3GR,SCH4GR,SCH5GR,SCH6GR,SCH7GR,SCH9GR,SCHTOTGR,SCH1GA,SCH2GA,SCH3GA,SCH4GA,SCH5GA,SCH6GA,SCH7GA,SCH9GA,SCHTOTGA,SCH1PR,SCH2PR,SCH3PR,SCH4PR,SCH5PR,SCH6PR,SCH7PR,SCH9PR,SCHTOTPR,SCHBOY1,SCHBOY2,SCHBOY3,SCHBOY4,SCHBOY5,SCHBOY6,SCHBOY7,SCHBOY9,SCHBOYTOT,SCHGIR1,SCHGIR2,SCHGIR3,SCHGIR4,SCHGIR5,SCHGIR6,SCHGIR7,SCHGIR9,SCHGIRTOT,ENR1,ENR2,ENR3,ENR4,ENR5,ENR6,ENR7,ENR9,ENRTOT,ENR1G,ENR2G,ENR3G,ENR4G,ENR5G,ENR6G,ENR7G,ENR9G,ENRTOTG,ENR1P,ENR2P,ENR3P,ENR4P,ENR5P,ENR6P,ENR7P,ENR9P,ENRTOTP,ENR1M,ENR2M,ENR3M,ENR4M,ENR5M,ENR6M,ENR7M,ENR9M,ENRTOTM,ENR1GR,ENR2GR,ENR3GR,ENR4GR,ENR5GR,ENR6GR,ENR7GR,ENR9GR,ENRTOTGR,ENR1PR,ENR2PR,ENR3PR,ENR4PR,ENR5PR,ENR6PR,ENR7PR,ENR9PR,ENRTOTPR,TCH1G,TCH2G,TCH3G,TCH4G,TCH5G,TCH6G,TCH7G,TCH9G,TCHTOTG,TCH1P,TCH2P,TCH3P,TCH4P,TCH5P,TCH6P,TCH7P,TCH9P,TCHTOTP,TCH1M,TCH2M,TCH3M,TCH4M,TCH5M,TCH6M,TCH7M,TCH9M,TCHTOTM,SCLS1,SCLS2,SCLS3,SCLS4,SCLS5,SCLS6,SCLS7,SCLSTOT,STCH1,STCH2,STCH3,STCH4,STCH5,STCH6,STCH7,STCHTOT,ROAD1,ROAD2,ROAD3,ROAD4,ROAD5,ROAD6,ROAD7,ROADTOT,SPLAY1,SPLAY2,SPLAY3,SPLAY4,SPLAY5,SPLAY6,SPLAY7,SPLAYTOT,SBNDR1,SBNDR2,SBNDR3,SBNDR4,SBNDR5,SBNDR6,SBNDR7,SBNDRTOT,SGTOIL1,SGTOIL2,SGTOIL3,SGTOIL4,SGTOIL5,SGTOIL6,SGTOIL7,SGTOILTOT,SBTOIL1,SBTOIL2,SBTOIL3,SBTOIL4,SBTOIL5,SBTOIL6,SBTOIL7,SBTOILTOT,SWAT1,SWAT2,SWAT3,SWAT4,SWAT5,SWAT6,SWAT7,SWATTOT,SELE1,SELE2,SELE3,SELE4,SELE5,SELE6,SELE7,SELETOT,SCOMP1,SCOMP2,SCOMP3,SCOMP4,SCOMP5,SCOMP6,SCOMP7,SCOMPTOT,SRAM1,SRAM2,SRAM3,SRAM4,SRAM5,SRAM6,SRAM7,SRAMTOT,SRAMN1,SRAMN2,SRAMN3,SRAMN4,SRAMN5,SRAMN6,SRAMN7,SRAMNTOT,ESTD1,ESTD2,ESTD3,ESTD4,ESTD5,ESTD6,ESTD7,ESTDTOT,MDM1,MDM2,MDM3,MDM4,MDM5,MDM6,MDM7,MDMTOT,KIT1,KIT2,KIT3,KIT4,KIT5,KIT6,KIT7,KITTOT,KITS1,KITS2,KITS3,KITS4,KITS5,KITS6,KITS7,KITSTOT,ENR501,ENR502,ENR503,ENR504,ENR505,ENR506,ENR507,ENR509,ENR50TOT,SMC1,SMC2,SMC3,SMC4,SMC5,SMC6,SMC7,SMCTOT,CLS1,CLS2,CLS3,CLS4,CLS5,CLS6,CLS7,CLSTOT,TCH1,TCH2,TCH3,TCH4,TCH5,TCH6,TCH7,TCHTOT,TCHF1,TCHF2,TCHF3,TCHF4,TCHF5,TCHF6,TCHF7,TCHFTOT,TCHM1,TCHM2,TCHM3,TCHM4,TCHM5,TCHM6,TCHM7,TCHM9,ENRG1,ENRG2,ENRG3,ENRG4,ENRG5,ENRG6,ENRG7,ENRGTOT,PREP,PRESTD,PPFTCH,PPMTCH,PMTCH,PFTCH,TCHSCM1,TCHSCM2,TCHSCM3,TCHSCM4,TCHSCM5,TCHSCM6,TCHSCM7,TCHSCF1,TCHSCF2,TCHSCF3,TCHSCF4,TCHSCF5,TCHSCF6,TCHSCF7,TCHSTM1,TCHSTM2,TCHSTM3,TCHSTM4,TCHSTM5,TCHSTM6,TCHSTM7,TCHSTF1,TCHSTF2,TCHSTF3,TCHSTF4,TCHSTF5,TCHSTF6,TCHSTF7,TCHOBCM1,TCHOBCM2,TCHOBCM3,TCHOBCM4,TCHOBCM5,TCHOBCM6,TCHOBCM7,TCHOBCF1,TCHOBCF2,TCHOBCF3,TCHOBCF4,TCHOBCF5,TCHOBCF6,TCHOBCF7,TCH_TRNRM1,TCH_TRNRM2,TCH_TRNRM3,TCH_TRNRM4,TCH_TRNRM5,TCH_TRNRM6,TCH_TRNRM7,TCH_TRNRF1,TCH_TRNRF2,TCH_TRNRF3,TCH_TRNRF4,TCH_TRNRF5,TCH_TRNRF6,TCH_TRNRF7,PGRMTCH,PGRFTCH,GRMTCH,GRFTCH,PGCMTCH,PGCFTCH,PCMTCH,PCFTCH,tot_app,pass_tot
0,1,101,JAMMU & KASHMIR,KUPWARA,1,13,391,104,875564,11.33,197001.9,34.62,843,0.12,8.08,66.92,54.79,77.1,2379,135672.0,72701.0,1107,818,2,14,2,84,49,0,2076,980,697,1,14,2,49,49,0,1792,127,121,1,0,0,35,0,0,284,0,0,0,0,0,0,0,0,0,954,681,1,14,2,48,49,0,1749,980,697,1,14,2,49,49,0,1792,117,114,0,0,0,23,0,0,254,1105,808,2,4,2,83,44,0,2048,1106,813,2,14,2,83,44,0,2064,37658,70411,322,545,206,16030,2386,0,127558,29587,49272,23,545,206,4161,2386,0,86180,8071,21139,299,0,0,11869,0,0,41378,0,0,0,0,0,0,0,0,0,29085,48286,23,545,206,4047,2386,0,84578,7084,19878,0,0,0,6663,0,0,33625,1991,4093,14,70,28,528,638,0,7362,717,1112,29,0,0,537,0,0,2395,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,72,104,0,0,1,0,0,0,105,836,649,2,13,2,68,41,1611,105,241,1,1,2,47,27,424,211,258,2,9,1,50,29,560,963,791,2,13,2,82,44,1897,800,753,2,3,2,82,44,1686,836,702,2,13,1,77,47,1678,44,69,2,8,1,40,25,189,23,92,1,1,1,39,16,173,223,310,0,1,0,23,21,578,272,348,0,1,0,28,25,674,955,191,1,13,0,14,0,1174,980,697,1,5,1,49,48,1781,460,548,0,1,1,42,35,1087,949,688,1,5,1,49,48,1741,933,237,1,13,1,8,27,43,1220,980,697,1,14,2,49,49,1792,3489,5315,27,62,23,852,239,10007,2708,5205,43,70,28,1065,638,9757,852,1238,17,61,6,246,104,4818,1856,3967,26,9,22,819,534,0,18986,35073,134,448,68,6872,1062,62643,1047,18000,211,445,1780,615,6,26,0,0,0,7,10,0,11,0,1,0,0,5,119,148,0,0,0,44,22,15,43,0,2,0,10,4,369,511,1,2,0,88,48,132,112,0,1,0,10,9,37,87,0,0,0,3,2,18,29,0,4,0,1,0,2385,785,4777,1638,230,119,676,271,5950,4655
1,1,102,JAMMU & KASHMIR,BARAMULA,1,18,678,144,1015503,17.19,161871.18,20.34,873,0.15,3.74,66.93,55.01,77.35,4243,117874.0,70952.0,1215,825,9,11,5,176,69,0,2310,1108,639,1,11,5,96,69,0,1929,107,186,8,0,0,80,0,0,381,0,0,0,0,0,0,0,0,0,1031,600,1,8,5,91,60,0,1796,1108,639,1,11,5,96,69,0,1929,98,160,4,0,0,58,0,0,320,1206,819,9,1,5,174,62,0,2276,1209,822,9,11,5,174,66,0,2296,43505,91652,8209,348,244,36272,2877,0,183107,33433,45036,354,348,244,7037,2877,0,89329,10072,46616,7855,0,0,29235,0,0,93778,0,0,0,0,0,0,0,0,0,32077,42360,354,287,244,6820,2437,0,84579,9358,41776,1755,0,0,22370,0,0,75259,2284,3852,14,60,105,1197,964,0,8476,653,2021,222,0,0,1336,0,0,4232,0,0,0,0,0,0,0,0,0,86,1,0,0,0,0,2,89,95,0,0,0,0,0,0,95,1052,766,9,10,4,165,65,2071,211,357,8,7,4,126,48,761,183,256,8,5,3,98,42,595,1209,822,9,11,5,174,66,2296,1206,819,9,1,5,174,62,2276,1068,776,9,10,5,172,69,2109,278,330,9,7,5,132,57,818,24,123,7,0,4,85,26,269,65,133,2,2,3,43,34,282,104,177,3,2,3,57,40,386,900,172,2,10,0,15,0,1099,1105,639,0,9,3,94,62,1912,376,462,0,5,2,74,48,967,799,569,0,7,3,88,61,1527,1014,240,0,10,4,35,49,41,1352,1108,639,0,11,4,96,69,1927,4127,5800,210,53,30,1665,360,12245,2937,5873,236,60,105,2533,964,12708,1088,2178,106,55,48,955,388,8031,1849,3695,130,5,57,1578,576,0,22210,45432,3985,334,87,17319,1420,90787,1998,30671,1575,1754,2278,1954,11,26,1,0,0,22,10,4,18,2,0,0,0,8,71,108,1,2,4,44,10,17,32,0,0,2,9,5,401,574,3,0,7,173,59,182,171,0,9,6,56,10,49,75,0,0,0,46,13,20,22,0,15,0,11,12,3478,2086,4983,2614,388,204,629,250,6901,5399
2,1,103,JAMMU & KASHMIR,SRINAGAR,1,8,94,65,1269751,98.73,155798.45,23.56,879,0.09,0.72,71.21,63.47,77.95,1979,113560.0,62397.0,258,417,36,2,0,263,9,0,985,203,209,1,2,0,65,9,0,489,55,208,35,0,0,198,0,0,496,0,0,0,0,0,0,0,0,0,18,6,0,0,0,6,0,0,30,203,209,1,2,0,65,9,0,489,4,14,0,0,0,1,0,0,19,256,415,34,0,0,255,9,0,969,256,414,32,2,0,257,7,0,968,8494,38942,20810,44,0,50880,288,0,119458,3548,9550,25,44,0,4219,288,0,17674,4946,29392,20785,0,0,46661,0,0,101784,0,0,0,0,0,0,0,0,0,513,395,0,0,0,511,0,0,1419,251,1851,0,0,0,180,0,0,2282,430,1442,15,14,0,1060,129,0,3090,398,2205,1144,0,0,3697,0,0,7444,0,0,0,0,0,0,0,0,0,100,6,0,0,0,0,1,107,17,0,0,0,0,0,0,17,248,411,36,2,0,261,9,967,78,268,33,2,0,222,4,607,191,353,36,2,0,248,6,836,182,367,32,2,0,253,7,843,234,397,34,0,0,244,8,917,254,407,36,2,0,262,9,970,96,212,36,0,0,253,8,605,38,209,36,0,0,213,2,498,6,29,7,0,0,15,1,58,39,90,17,0,0,73,2,221,209,116,8,2,0,19,0,354,203,209,1,2,0,65,9,489,43,94,1,1,0,43,5,187,175,207,1,2,0,63,8,456,227,161,3,2,0,38,7,30,438,203,209,1,2,0,65,9,489,817,3284,886,11,0,2873,40,7911,828,3647,1159,14,0,4757,129,10534,643,2766,879,14,0,3650,79,2956,185,881,280,0,0,1107,50,0,4388,18725,9940,44,0,24879,136,58112,875,35467,2161,630,1623,5821,1,5,1,0,0,7,3,1,5,3,0,0,7,1,13,32,5,0,0,11,4,2,20,4,0,0,10,3,3,22,3,0,0,19,2,1,13,7,0,0,14,2,8,33,0,0,0,8,0,14,97,0,0,0,16,0,481,1623,772,2013,61,179,108,197,8629,6751
3,1,104,JAMMU & KASHMIR,BADGAM,1,13,523,104,735753,11.74,150755.79,21.18,883,0.05,3.17,57.98,46.6,68.56,1361,118477.0,58838.0,755,537,10,10,1,98,57,0,1468,697,423,1,10,1,40,57,0,1229,56,114,9,0,0,58,0,0,237,2,0,0,0,0,0,0,0,2,678,411,0,10,1,40,54,0,1194,697,423,1,10,1,40,57,0,1229,55,110,8,0,0,49,0,0,222,754,532,9,2,1,96,54,0,1448,752,535,10,9,1,98,54,0,1459,23691,48001,3581,488,71,17407,2282,0,95521,20328,31192,544,488,71,2779,2282,0,57684,3307,16809,3037,0,0,14628,0,0,37781,56,0,0,0,0,0,0,0,56,19742,30100,0,488,71,2779,2175,0,55355,3270,15847,2878,0,0,10874,0,0,32869,1554,2691,36,68,19,442,716,0,5526,314,1201,214,0,0,1051,0,0,2780,10,0,0,0,0,0,0,0,10,64,0,0,0,0,0,0,64,35,0,0,0,0,0,0,35,735,528,10,10,1,98,56,1438,129,238,10,3,1,79,30,490,164,230,10,5,1,74,36,520,752,535,10,9,1,98,54,1459,754,532,9,2,1,96,54,1448,755,537,10,10,1,98,57,1468,70,78,10,2,1,64,25,250,19,100,9,3,1,68,15,215,80,141,3,0,0,22,13,259,173,207,5,2,0,33,27,447,528,75,4,10,0,16,1,634,697,422,0,10,0,40,57,1226,239,301,0,4,0,38,48,630,423,357,0,8,0,40,53,881,654,137,0,8,0,15,38,43,852,697,423,1,10,1,40,57,1229,2290,3837,119,45,8,1035,325,7659,1878,3892,250,68,19,1493,716,8316,572,1350,152,62,6,595,219,2109,1306,2542,98,6,13,898,497,0,12092,23616,1677,415,14,7886,1080,46780,1285,21352,601,695,1487,1293,6,17,2,0,0,4,2,3,7,2,0,1,2,2,41,75,1,1,0,20,25,9,24,1,3,0,3,2,399,480,9,0,0,61,63,126,94,6,7,0,19,9,57,62,0,0,0,0,0,13,21,0,0,0,0,0,2309,1131,3427,1514,281,103,440,145,5000,3912
4,1,105,JAMMU & KASHMIR,PULWAMA,1,8,359,64,570060,13.8,97651.28,29.18,913,0.07,4.03,65.0,53.81,75.41,1086,64493.0,30166.0,532,339,4,14,2,94,43,0,1028,497,233,0,14,2,23,43,0,812,35,106,4,0,0,71,0,0,216,0,0,0,0,0,0,0,0,0,470,215,0,13,2,23,41,0,764,497,233,0,14,2,23,43,0,812,27,88,0,0,0,48,0,0,163,524,338,4,9,2,93,38,0,1008,527,338,4,13,2,94,42,0,1020,12385,26023,2057,517,79,18741,1543,0,61345,10815,13233,0,517,79,1839,1543,0,28026,1570,12790,2057,0,0,16902,0,0,33319,0,0,0,0,0,0,0,0,0,10463,12412,0,496,79,1839,1477,0,26766,1061,10164,0,0,0,10017,0,0,21242,1088,1603,0,90,38,313,506,0,3638,248,1079,113,0,0,1101,0,0,2541,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,1,37,52,0,0,0,0,0,0,52,486,324,4,14,2,93,42,965,93,165,2,7,1,80,19,367,137,182,4,7,2,73,30,435,411,323,4,13,2,94,42,889,384,308,4,9,2,91,37,835,499,333,4,14,2,94,43,989,29,76,4,3,2,76,35,225,18,89,4,1,2,69,13,196,39,74,0,2,2,11,22,150,125,124,2,4,2,30,26,313,308,49,0,7,0,18,0,382,497,233,0,10,2,22,43,807,278,197,0,7,1,22,39,544,403,222,0,8,2,22,42,699,501,125,0,13,1,6,35,36,681,497,233,0,14,2,23,43,812,1688,2584,151,67,5,1101,209,5805,1336,2682,113,90,38,1414,506,6179,453,961,50,59,10,470,106,4583,883,1721,63,31,28,944,400,0,6307,13011,922,373,37,8733,767,30150,888,20018,588,702,1496,1045,9,9,0,0,0,0,6,5,13,0,2,1,2,0,40,48,0,1,0,17,16,4,7,0,0,0,1,0,138,156,0,7,0,47,47,36,34,0,3,0,7,2,24,15,0,0,0,22,46,3,11,0,0,0,1,10,1660,714,2357,956,126,85,217,108,3874,3031
5,1,106,JAMMU & KASHMIR,ANANTNAG,1,12,523,96,1070144,26.04,206323.76,37.48,937,0.17,10.75,64.32,54.15,74.13,3574,150600.0,78343.0,779,869,10,14,5,160,48,0,1885,691,682,2,14,5,72,48,0,1514,88,187,8,0,0,88,0,0,371,0,0,0,0,0,0,0,0,0,626,619,2,12,5,66,43,0,1373,691,682,2,14,5,72,48,0,1514,77,147,4,0,0,60,0,0,288,770,844,9,6,5,157,44,0,1835,776,860,9,14,4,160,45,0,1868,21003,64580,3256,509,367,26997,1491,0,118203,16977,40210,836,509,367,5765,1491,0,66155,4026,24370,2420,0,0,21232,0,0,52048,0,0,0,0,0,0,0,0,0,16150,36677,836,465,367,5266,1465,0,61226,3273,19572,1345,0,0,14496,0,0,38686,1452,4147,54,74,95,854,597,0,7273,632,2035,207,0,0,1637,0,0,4511,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,1,62,69,0,0,0,0,0,0,69,698,801,10,14,5,149,47,1724,133,318,10,3,1,106,24,595,210,390,10,8,3,114,39,774,721,853,9,14,4,160,45,1806,713,835,9,6,5,157,44,1769,727,831,10,14,5,158,47,1792,52,131,10,5,5,122,43,368,56,172,10,1,2,90,13,344,108,251,3,0,2,53,30,447,303,498,10,4,3,113,39,970,635,236,1,11,1,17,1,902,691,681,0,14,4,70,47,1507,273,448,0,6,2,58,34,821,610,653,0,13,4,66,45,1391,696,349,0,13,3,16,39,50,1116,690,682,2,14,5,72,48,1513,2650,5862,152,60,22,1592,185,10523,2084,6182,261,74,95,2491,597,11784,908,2520,105,59,17,819,155,1745,1176,3662,156,15,78,1672,442,0,10519,32112,1404,422,79,12195,612,57343,1707,30943,945,1032,2464,2047,3,30,1,0,1,26,8,1,14,0,0,0,4,2,97,132,0,1,4,65,26,17,18,0,1,0,5,4,102,249,0,0,13,70,18,46,83,1,0,3,26,7,91,223,0,2,5,65,62,19,47,0,3,0,8,6,2643,1570,4053,2208,330,245,684,328,7273,5690
6,1,107,JAMMU & KASHMIR,LEH (LADAKH),1,6,110,49,147104,42.96,11812.45,25.48,583,0.37,71.81,80.48,64.52,89.39,45110,9066.0,5260.0,176,145,3,3,2,46,0,0,375,144,126,1,3,2,32,0,0,308,32,19,2,0,0,14,0,0,67,0,0,0,0,0,0,0,0,0,138,121,0,3,2,31,0,0,295,144,126,1,3,2,32,0,0,308,29,13,1,0,0,9,0,0,52,173,144,3,0,2,46,0,0,368,157,142,3,3,2,46,0,0,353,1430,5734,1755,64,468,6133,0,0,15584,803,3041,243,64,468,855,0,0,5474,627,2693,1512,0,0,5278,0,0,10110,0,0,0,0,0,0,0,0,0,744,2716,0,64,468,805,0,0,4797,501,1696,452,0,0,3395,0,0,6044,357,935,20,19,45,475,0,0,1851,113,225,42,0,0,338,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,159,135,3,3,2,46,0,348,66,99,3,0,2,38,0,208,119,124,3,1,2,41,0,290,156,142,3,3,2,46,0,352,172,144,3,0,2,46,0,367,117,111,1,1,1,40,0,271,30,34,3,0,2,42,0,111,19,84,3,2,2,41,0,151,6,10,0,0,0,5,0,21,94,69,1,2,0,17,0,183,69,14,1,3,0,1,0,88,144,123,0,3,2,32,0,304,85,99,0,0,0,27,0,211,144,122,0,3,2,32,0,303,174,119,0,3,0,29,0,14,325,144,122,0,3,0,32,0,301,604,1059,45,9,17,473,0,2207,470,1160,62,19,45,813,0,2569,323,820,41,19,10,532,0,844,147,340,21,0,35,281,0,0,630,2811,895,64,207,3042,0,7649,316,5309,356,167,237,481,0,0,1,0,0,0,0,0,0,0,0,2,7,0,144,315,7,0,9,211,0,319,788,23,19,7,426,0,0,5,1,0,1,0,0,1,3,0,0,0,0,0,10,20,0,0,0,6,0,37,15,0,0,0,22,0,454,887,561,1134,13,74,26,130,999,782
7,1,108,JAMMU & KASHMIR,KARGIL,1,7,134,54,143388,8.89,20404.11,20.18,775,0.01,86.89,74.49,58.05,86.73,14036,15468.0,8377.0,229,289,6,6,1,27,28,0,586,213,260,1,6,1,18,27,0,526,16,29,5,0,0,9,1,0,60,0,0,0,0,0,0,0,0,0,204,249,1,6,1,18,24,0,503,213,260,1,6,1,18,27,0,526,12,23,2,0,0,6,0,0,43,229,281,6,0,1,26,26,0,569,227,287,6,6,1,27,28,0,582,3632,10541,1559,140,122,2885,604,0,19483,2435,7138,263,140,122,753,454,0,11305,1197,3403,1296,0,0,2132,150,0,8178,0,0,0,0,0,0,0,0,0,2319,6797,263,140,122,753,377,0,10771,622,2287,240,0,0,1197,0,0,4346,382,1340,11,44,17,170,282,0,2246,89,242,79,0,0,104,6,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,56,3,0,0,0,0,0,59,210,276,6,6,1,27,27,553,28,108,4,2,1,18,21,182,49,124,6,4,1,21,23,228,227,287,6,6,1,27,28,582,229,281,6,0,1,26,26,569,110,186,6,4,0,20,19,345,4,14,6,5,1,8,7,45,19,67,6,2,1,19,16,130,7,4,1,0,0,8,23,43,12,10,2,1,0,9,23,57,149,46,1,6,0,0,0,202,213,260,1,0,0,18,27,519,55,103,0,0,0,4,7,169,206,257,1,0,0,17,26,507,220,234,0,6,0,13,27,16,500,213,260,1,6,1,18,27,526,716,1469,69,26,3,220,99,2602,471,1582,90,44,17,274,288,2766,161,484,26,44,7,45,77,2316,310,1098,64,0,10,229,211,0,1836,5732,610,140,51,1276,284,9929,400,3155,41,100,358,162,0,9,2,0,0,4,4,0,0,1,0,0,0,1,308,1061,61,0,0,208,200,156,477,25,44,0,45,76,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,888,292,1400,560,54,30,164,122,974,762
8,1,109,JAMMU & KASHMIR,DODA,1,10,388,80,409576,7.95,71020.48,27.89,922,13.03,9.57,65.97,50.34,80.36,8912,52488.0,28512.0,756,533,18,5,9,130,8,0,1459,656,458,13,5,9,105,8,0,1254,100,75,5,0,0,25,0,0,205,0,0,0,0,0,0,0,0,0,640,442,12,5,9,101,8,0,1217,656,458,13,5,9,105,8,0,1254,90,63,1,0,0,17,0,0,171,754,533,17,0,9,130,8,0,1451,756,531,18,5,9,130,8,0,1457,19691,36571,3233,200,556,15852,348,0,76451,15701,28577,1078,200,556,9629,348,0,56089,3990,7994,2155,0,0,6223,0,0,20362,0,0,0,0,0,0,0,0,0,15462,27717,772,200,556,9375,348,0,54430,3350,6378,241,0,0,3933,0,0,13902,1369,2342,199,41,172,1057,102,0,5282,498,668,67,0,0,334,0,0,1567,0,0,0,0,0,0,0,0,0,33,5,0,0,0,1,0,39,83,0,0,0,0,0,0,83,578,366,16,5,8,97,8,1078,143,171,13,1,9,69,5,411,55,76,8,1,3,28,3,174,756,531,18,5,9,130,8,1457,754,533,17,0,9,130,8,1451,633,484,18,5,9,128,8,1285,51,45,10,4,8,68,6,192,15,39,10,0,4,38,3,109,17,17,2,0,2,7,2,47,44,44,3,0,2,13,2,108,620,146,1,5,0,4,0,776,656,458,12,5,8,105,8,1252,492,406,7,4,6,95,8,1018,650,455,11,5,8,105,8,1242,693,200,5,5,4,27,5,19,939,656,458,13,5,9,105,8,1254,2073,2354,165,17,36,766,36,5447,1867,3010,266,41,172,1391,102,6849,702,1046,66,39,23,396,44,4082,1165,1964,200,2,149,995,58,0,9639,17927,1522,200,265,7040,196,36789,423,8037,143,213,893,674,124,190,26,0,21,87,4,66,64,8,0,0,25,2,61,96,10,0,5,81,3,13,37,2,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,73,2,0,2,41,2,25,18,1,5,1,4,0,1201,581,2865,1260,198,122,775,382,2783,2177
9,1,110,JAMMU & KASHMIR,UDHAMPUR,1,11,361,86,555357,19.72,82637.12,20.86,863,24.97,10.15,69.9,58.22,79.93,2637,61091.0,35880.0,983,557,36,5,6,155,3,0,1745,906,477,17,5,6,109,3,0,1523,77,80,19,0,0,46,0,0,222,0,0,0,0,0,0,0,0,0,895,466,16,5,6,105,2,0,1495,906,477,17,5,6,109,3,0,1523,72,67,10,0,0,33,0,0,182,981,554,36,0,6,152,2,0,1731,981,553,36,5,6,154,3,0,1738,22669,39926,11133,197,484,20572,106,0,95087,19407,32201,3776,197,484,10862,106,0,67033,3262,7725,7357,0,0,9710,0,0,28054,0,0,0,0,0,0,0,0,0,19196,31267,3484,197,484,10421,89,0,65138,2818,6486,2340,0,0,6176,0,0,17820,1729,2310,326,27,118,993,32,0,5535,430,759,485,0,0,645,0,0,2319,0,0,0,0,0,0,0,0,0,231,15,0,1,0,1,0,248,159,10,0,0,0,0,0,169,516,364,36,3,6,121,3,1049,204,256,32,0,4,117,2,615,83,156,26,0,4,76,1,346,782,530,36,4,6,150,3,1511,573,455,35,0,6,140,1,1210,945,552,36,5,6,155,3,1702,146,200,36,0,6,123,3,514,27,93,30,0,5,62,0,217,36,108,8,0,2,55,1,210,60,132,9,0,2,58,2,263,778,98,3,5,0,7,0,891,899,464,14,5,5,109,3,1499,526,429,13,0,5,105,3,1081,897,462,14,5,5,109,3,1495,950,191,4,4,2,10,3,13,1164,901,464,16,5,5,109,3,1503,2256,3080,520,13,22,1151,6,7048,2159,3069,811,27,118,1638,32,7854,1035,1529,492,27,45,934,20,2577,1124,1540,319,0,73,704,12,0,11045,18834,4605,197,171,9292,58,44202,854,11487,596,203,602,1717,189,228,37,0,15,91,1,138,157,22,1,7,71,2,115,94,13,0,1,56,2,36,25,5,0,0,20,0,51,59,22,0,5,33,0,48,45,9,2,1,31,0,69,69,3,0,0,19,0,50,41,0,3,0,15,0,1073,1083,2462,1719,230,372,708,646,3774,2952
